track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
012ONoOr0cBBw6vYNmELa5,0.438,0.323,0.869,7.19e-06,0.11,-7.177,0.383,0.485
01wavOnjFBNgdMWBFYIAP4,0.816,0.561,0.65,1.61e-06,0.952,-6.43,0.0277,0.597
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
01stPT7J3W6Zx45jj1f4nk,0.0165,0.886,0.567,0.000178,0.103,-6.96,0.191,0.283
010d0LZvE7DRojYxuZHzax,0.495,0.424,0.433,4.8e-06,0.148,-8.727,0.102,0.249
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
020De83tFmcTrgEpzdUCNS,0.176,0.911,0.612,0.000142,0.103,-2.79,0.0829,0.515
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
010d0LZvE7DRojYxuZHzax,0.495,0.424,0.433,4.8e-06,0.148,-8.727,0.102,0.249
00XfUDUYQJ2hgG0vKpdwa6,0.265,0.773,0.602,0.0,0.12,-7.939,0.293,0.462
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
020De83tFmcTrgEpzdUCNS,0.176,0.911,0.612,0.000142,0.103,-2.79,0.0829,0.515
01t5aRQQqY5R95Ptlwi2jm,0.0332,0.565,0.403,0.0,0.0443,-9.718,0.105,0.684
01t5aRQQqY5R95Ptlwi2jm,0.0332,0.565,0.403,0.0,0.0443,-9.718,0.105,0.684
01t5aRQQqY5R95Ptlwi2jm,0.0332,0.565,0.403,0.0,0.0443,-9.718,0.105,0.684
01xPaQv2fAE3aDOANB2gv3,0.802,0.904,0.227,0.0,0.111,-16.419,0.343,0.839
020De83tFmcTrgEpzdUCNS,0.176,0.911,0.612,0.000142,0.103,-2.79,0.0829,0.515
00RLNHc2jkEjUoCUlFgPVT,0.0194,0.584,0.717,0.756,0.0739,-5.175,0.0266,0.659
00RLNHc2jkEjUoCUlFgPVT,0.0194,0.584,0.717,0.756,0.0739,-5.175,0.0266,0.659
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
00RLNHc2jkEjUoCUlFgPVT,0.0194,0.584,0.717,0.756,0.0739,-5.175,0.0266,0.659
00RLNHc2jkEjUoCUlFgPVT,0.0194,0.584,0.717,0.756,0.0739,-5.175,0.0266,0.659
012ONoOr0cBBw6vYNmELa5,0.438,0.323,0.869,7.19e-06,0.11,-7.177,0.383,0.485
00ZKeP47bZtswtANkvxz2j,0.889,0.734,0.228,0.00642,0.102,-4.731,0.53,0.522
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
022Hks9BZTPSabeyAxwyW4,0.942,0.143,0.166,0.226,0.112,-39.02,0.0876,0.129
01FeJ7w07VWjVZiLuXLZB3,0.961,0.555,0.0502,0.0207,0.144,-24.135,0.0422,0.03
00SaOQz2IJCWaxik1UM05P,0.605,0.34,0.378,0.594,0.116,-11.373,0.0271,0.058
01yTwfGTlWbhLZbIBOAKXY,3.53e-06,0.281,0.94,0.843,0.354,-7.477,0.0649,0.496
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
00iwQgjIgoGO94BRBDyClo,0.86,0.785,0.222,0.84,0.106,-21.624,0.0418,0.327
019V57NOngssFoGhD0IwgC,0.906,0.491,0.135,0.686,0.121,-20.104,0.0985,0.159
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
00SaOQz2IJCWaxik1UM05P,0.605,0.34,0.378,0.594,0.116,-11.373,0.0271,0.058
01FeJ7w07VWjVZiLuXLZB3,0.961,0.555,0.0502,0.0207,0.144,-24.135,0.0422,0.03
00SaOQz2IJCWaxik1UM05P,0.605,0.34,0.378,0.594,0.116,-11.373,0.0271,0.058
01FeJ7w07VWjVZiLuXLZB3,0.961,0.555,0.0502,0.0207,0.144,-24.135,0.0422,0.03
00SaOQz2IJCWaxik1UM05P,0.605,0.34,0.378,0.594,0.116,-11.373,0.0271,0.058
01Mfhyx7ZIBmAJ5dC4ku76,0.659,0.776,0.334,0.0,0.112,-10.328,0.0728,0.684
00GESnMYDVZqU6oIjLkZu5,0.513,0.764,0.376,6.97e-05,0.29,-12.013,0.0824,0.693
022qa8RJ1bDMVf5q9sxKwf,0.992,0.441,0.202,0.892,0.1,-19.203,0.0532,0.246
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
01ZZ0lLhfnCebVi1AqJdbA,0.106,0.548,0.541,0.0,0.196,-5.526,0.1,0.36
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
014sCCV64c51XhS1Meb8XR,0.978,0.437,0.0582,0.000518,0.167,-21.954,0.0462,0.558
00IO2m0XxxDJ2ncBUvEvBR,0.0176,0.781,0.733,0.000458,0.143,-6.143,0.0412,0.319
00RLNHc2jkEjUoCUlFgPVT,0.0194,0.584,0.717,0.756,0.0739,-5.175,0.0266,0.659
00IO2m0XxxDJ2ncBUvEvBR,0.0176,0.781,0.733,0.000458,0.143,-6.143,0.0412,0.319
00IO2m0XxxDJ2ncBUvEvBR,0.0176,0.781,0.733,0.000458,0.143,-6.143,0.0412,0.319
017PF4Q3l4DBUiWoXk4OWT,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0.0884,0.467
017PF4Q3l4DBUiWoXk4OWT,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0.0884,0.467
017PF4Q3l4DBUiWoXk4OWT,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0.0884,0.467
00WLowvlN5cjkYpQV6pjo4,0.373,0.474,0.511,0.136,0.295,-7.654,0.0487,0.148
00Mb3DuaIH1kjrwOku9CGU,6.79e-05,0.487,0.9,0.0,0.358,-4.417,0.0482,0.484
00WLowvlN5cjkYpQV6pjo4,0.373,0.474,0.511,0.136,0.295,-7.654,0.0487,0.148
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
00WLowvlN5cjkYpQV6pjo4,0.373,0.474,0.511,0.136,0.295,-7.654,0.0487,0.148
01Z18LIRXx7QHzWp2QpDaE,0.875,0.67,0.372,0.000188,0.161,-8.175,0.0266,0.225
01Z18LIRXx7QHzWp2QpDaE,0.875,0.67,0.372,0.000188,0.161,-8.175,0.0266,0.225
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
01Z18LIRXx7QHzWp2QpDaE,0.875,0.67,0.372,0.000188,0.161,-8.175,0.0266,0.225
00EAiVX99rZ4rlYFLItPcC,0.015,0.42,0.964,0.0,0.207,-3.35,0.0902,0.584
00Mb3DuaIH1kjrwOku9CGU,6.79e-05,0.487,0.9,0.0,0.358,-4.417,0.0482,0.484
00Mb3DuaIH1kjrwOku9CGU,6.79e-05,0.487,0.9,0.0,0.358,-4.417,0.0482,0.484
02LqtUPTOQ8wcouIumUKQM,0.955,0.445,0.0857,0.000142,0.13,-15.293,0.039,0.173
00Xcf47ApZUt6omH2RgdUM,0.275,0.862,0.726,0.0,0.129,-7.11,0.035,0.864
00Xcf47ApZUt6omH2RgdUM,0.275,0.862,0.726,0.0,0.129,-7.11,0.035,0.864
01Z18LIRXx7QHzWp2QpDaE,0.875,0.67,0.372,0.000188,0.161,-8.175,0.0266,0.225
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
000TJlEJQ3nafsm1hBWpoj,0.155,0.62,0.586,0.0,0.535,-6.612,0.212,0.487
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
01vv2AjxgP4uUyb8waYO5Y,0.0747,0.734,0.607,0.000577,0.0968,-7.249,0.0806,0.518
00Xcf47ApZUt6omH2RgdUM,0.275,0.862,0.726,0.0,0.129,-7.11,0.035,0.864
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
02LqtUPTOQ8wcouIumUKQM,0.955,0.445,0.0857,0.000142,0.13,-15.293,0.039,0.173
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
